,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
PEY.TO,-0.34175175,0.12722874,,,2.0,0.887868,,10.0,10.135,,9.0,12.17,0.819,1538352000,72.41,-0.239,-0.239,608729024,1.094,5.19,5.678,3159331584,CAD,,159993899,0.75,16.226667,60402248,53.0,,,0.82348,570846000,,,Oil & Gas E&P,,,1514678400,,,,1,86400,,,1530316800,174510000,1577750400,16,547126976,0.52174,9.0,1.74,2,1.2007893,,0.31363,0.31363,0.411,buy,2.5,0.050180003,0.105179995,-0.414,3.375,,Energy,6.0,164874000,0.051999997,8568404,1536019200,8466368,,9.3,18.0,9.5,13.36,12.75,,,1130000,0.007,1210000000,556422976,1.058,,
PFB.TO,0.056804776,0.12722874,,,,-0.440676,,,7.696,,,8.93,1.939,1538352000,29.582,2.833,2.75,9199000,0.08334,7.156,0.596,65832028,CAD,,2435626,0.82,10.8902445,2834625,412.0,,,0.21741,21328000,,,Building Materials,,,1514678400,,,,1,86400,,,1530316800,3603000,1577750400,3,6575000,0.050079998,,,2,1.160343,,0.03264,0.03264,1.113,buy,2.0,0.04163,0.071100004,0.111,16.436,,Basic Materials,,6716000,0.0,0,1536019200,300,,0.0,11.5,10.25,11.0,11.25,,,8223000,1.224,15290000,110382000,0.536,,
PG.TO,-0.53524804,0.12722874,,,2.0,0.989383,,5.0,1.466,,8.0,1.76,3.028,1538352000,0.017,,,48786588,0.33688998,6.049,2.038,295100480,USD,,196811249,-0.03,-58.666668,41686956,487.0,,,0.41611,149169342,,,Gold,,,1514678400,,,,1,86400,,,1530316800,-9599631,1577750400,8,16936134,-0.023359999,7.0,,2,1.2005457,,-0.06629,-0.06629,2.3,buy,2.0,-0.0050999997,-0.03211,-0.505,0.715,,Basic Materials,6.0,202964000,0.0054,1088455,1536019200,977243,,2.07,4.75,3.0,4.11,4.58,,,67924000,0.335,50000,144813968,-0.055,,
PGF.TO,-0.19259256,0.12722874,,,,5.21899,,,1.354,,,1.0,0.332,1538352000,97.623,,,42800000,0.0856,32.118,2.749,1374634496,CAD,,436468427,0.01,100.0,17500000,186.0,,,0.3462,219500000,,,Oil & Gas E&P,,,1514678400,,,,1,86400,,,1530316800,-409800000,1577750400,12,40700000,0.292,,0.21,2,0.73855245,,-0.8196,-0.8196,0.246,underperform,3.8,0.03667,-0.42812002,-0.24,0.904,,Energy,,556116992,0.023699999,13170277,1536019200,10932577,,31.25,1.3,0.75,1.02,1.0,,,,,735100032,500000000,-0.741,,
PHO.TO,-0.06547612,0.12722874,,,,2.53119,,,0.487,,,1.48,6.005,1538352000,,,,17664000,0.34315,8.095,2.778,142998624,CAD,,109655133,0.09,16.444445,14781750,84.0,,,0.53758997,23291000,,,Scientific & Technical Instruments,,,1514678400,,,,1,86400,,,1530316800,11060000,1577750400,3,16371000,0.28530002,,1062.5,2,3.0390146,,0.21486,0.21486,5.333,buy,1.7,0.15661,0.2318,0.641,0.465,,Technology,,111396000,0.0034999999,318284,1536019200,300000,,0.85,2.51,2.12,2.26,2.12,,,40794000,0.366,0,51476000,0.1,,
PHX.TO,0.4465115,0.12722874,,,,4.000318,,,3.108,,,3.03,2.11,1538352000,8.419,,,21273682,0.08003,8.793,0.704,187059920,CAD,,49285665,-0.07,-43.285713,-8066908,668.0,,,0.07298,,,,Oil & Gas Drilling,,,1514678400,,,,1,86400,,,1530316800,-10307236,1577750400,4,6295056,-0.07087,,,2,0.97490346,,-0.03877,-0.03877,1.6,hold,2.8,-0.04868,-0.0556,0.282,4.393,,Energy,,58238900,0.001,57850,1536019200,14389,,1.63,3.75,2.5,3.19,3.25,,,8354932,0.143,15248629,265824304,-0.174,,
PIF.TO,-0.38456976,0.12722874,,,2.0,0.651029,,4.0,11.956,,9.0,10.52,2.562,1538352000,87.07,2.288,2.29,53334956,0.84374,5.542,4.676,295604288,USD,,13708164,1.56,6.7435904,5467359,162.0,,,0.89815,,,,Utilities - Independent Power Producers,,,1514678400,,,,1,86400,,,1530316800,6064153,1577750400,6,37333060,0.49012002,5.0,0.13,2,0.87989295,,0.09593,0.09593,2.496,buy,1.7,0.0478,0.03233,0.11,4.032,,Utilities,1.0,15678300,0.0005,7555,1536019200,2373,,0.06,22.37,17.74,19.93,19.67,,,34484632,2.2,162871312,63212368,0.387,,
PKI.TO,0.6564586,0.12722874,,,2.0,0.185014,,7.0,12.706,,1.0,44.3,0.975,1538352000,121.747,,,666000000,0.05086,11.365,0.578,7569160192,CAD,,131025840,2.53,17.509882,1461137536,4363.0,,,0.12617,,,,Oil & Gas Refining & Marketing,,,1514678400,1179878400,3/1,,1,86400,,,1530316800,141300000,1577750400,7,373900000,0.030580001,4.0,28.7,2,3.4865417,,0.01079,0.01079,0.618,buy,1.9,0.05026,0.08642,1.095,99.654,,Energy,3.0,132864000,0.0054,719455,1536019200,634034,,2.34,50.0,38.0,45.07,45.0,,,74000000,0.561,2048999936,13094500352,1.063,,
PLC.TO,0.2852745,0.12722874,,,,0.418949,,,16.519,,,24.37,2.711,1538352000,12.856,,,23280632,0.20086001,27.401,5.504,637917056,CAD,,22671884,1.1,22.154545,32534840,722.0,,,0.59556,49441433,,,Personal Services,,,1514678400,,,,1,86400,,,1530316800,3323970,1577750400,9,13537488,0.12031,,31.71,2,1.475271,,0.02868,0.02868,2.083,buy,1.6,0.01392,0.012920001,1.004,6.945,,Consumer Cyclical,,23113400,0.0007,20100,1536019200,20157,,0.5,32.0,28.5,29.94,30.0,,,9062045,0.392,49234500,115904200,0.199,,
PLI.TO,-0.7012987,0.12722874,,,2.0,1.929829,,3.0,0.081,,8.0,0.465,1.446,1538352000,140.422,,,-116996000,-2.1242301,-3.948,8.387,461915680,CAD,,628432511,-0.09,-5.1666665,-78028000,480.0,,,-1.27458,-71426000,,,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-117762000,1577750400,9,-105156000,-2.21094,6.0,,3,5.740741,,-2.13813,-2.13813,0.662,buy,2.3,-0.29383,-1.15803,4.569,0.077,,Healthcare,9.0,718126976,0.0154,8533273,1536019200,8988592,,9.59,7.0,0.75,2.26,1.5,,,11821000,0.016,126204000,55077000,-0.166,,
